                  赣锋锂业 (002460)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2015/06/01	   15.38	   15.98	   14.91	   15.85	       45443888	           	           	           	           	           	       0.00	  454438.88	           	           	       0.00	       0.00	       0.00	
 2015/06/02	   15.83	   17.02	   15.58	   16.35	       31573064	           	           	           	           	           	       0.00	  315730.63	           	           	       0.04	       0.01	       0.06	
 2015/06/03	   16.03	   16.91	   15.69	   16.08	       26875800	           	           	           	           	           	       0.00	  268758.00	           	           	       0.05	       0.02	       0.07	
 2015/06/04	   16.13	   17.70	   15.01	   17.70	       35290244	           	           	           	           	           	       0.00	  352902.44	           	           	       0.19	       0.05	       0.27	
 2015/06/05	   18.43	   19.27	   17.87	   17.90	       41886396	      16.78	           	           	           	           	       0.00	  418863.97	  362138.78	           	       0.31	       0.10	       0.41	
 2015/06/08	   17.93	   18.11	   16.58	   17.01	       30074186	      17.01	           	           	           	           	       0.00	  300741.88	  331399.38	           	       0.33	       0.15	       0.36	
 2015/06/09	   16.68	   17.84	   16.58	   17.17	       18726592	      17.17	           	           	           	           	       0.00	  187265.92	  305706.44	           	       0.35	       0.19	       0.33	
 2015/06/10	   16.93	   17.64	   16.69	   17.23	       17637292	      17.40	           	           	           	           	       0.00	  176372.92	  287229.41	           	       0.37	       0.22	       0.29	
 2015/06/11	   16.99	   17.92	   16.78	   17.48	       19305044	      17.36	           	           	           	           	       0.00	  193050.44	  255259.00	           	       0.40	       0.26	       0.28	
 2015/06/12	   17.63	   18.40	   17.30	   17.73	       21665864	      17.32	      17.05	           	           	           	       0.00	  216658.64	  214817.97	  288478.38	       0.44	       0.30	       0.29	
 2015/06/15	   17.68	   18.01	   16.30	   16.53	       21708416	      17.23	      17.12	           	           	           	       0.00	  217084.16	  198086.41	  264742.88	       0.37	       0.31	       0.12	
 2015/06/16	   16.24	   16.40	   15.20	   15.43	       18736704	      16.88	      17.03	           	           	           	       0.00	  187367.05	  198106.66	  251906.55	       0.23	       0.29	      -0.14	
 2015/06/17	   15.45	   16.93	   15.01	   16.93	       15446057	      16.82	      17.11	           	           	           	       0.00	  154460.56	  193724.20	  240476.80	       0.23	       0.28	      -0.11	
 2015/06/18	   16.44	   16.77	   15.49	   15.73	       14359588	      16.47	      16.91	           	           	           	       0.00	  143595.88	  183833.25	  219546.13	       0.13	       0.25	      -0.24	
